french,nature,eton
déborder,v.,lòbzànà
déboucher (sp),v.,sògzò
débris (sp),n.,ù-báz ḿꜜmáŋ
débrouiller (se ),v.,bímnì
débrouiller (se ),v.,ndə́ŋ
débrousser,v.,lí
débusquer,v.,kúglânà
début,n.,mə̀-kází
début,n.,mə̀-tádí
débutant,n adj.,ǹ-tɔ́gɔ̂
débuter,v.,tádî
décanter,v.,jínbâ
décéder,v.,jə̀gzàn
décéder,v.,jíî
déception,n.,ŋm̀-kpálá
décharger,v.,sùzà
déchiqueté,n adj.,bì-pə̀pə̀g
déchiqueter,v.,làmdà
déchiré,n.,ɛ̀-ŋgə̀ŋ
déchirer,v.,ɲàb
déchirer (se ),v.,ɲàbì
déchirer (sp),v.,làmdà
déchoir,q aux.,pɔ́lgân
déclarer,v.,vɔ́
déclarer l’amour,v.,kàz èè
déclencher,v.,càg
déclencher,v.,kpázlâ
déclencher,v.,sə̀
déclencher (se ),v.,bólî
déclencher (se ),v rés.,lɛ́nə̂
décoller (se ),v.,sógî
décoller (se ),v.,sógnì
déconcentrer,v.,sòlò
décortiquer,v.,tágî
découpage,n.,ì-bà
découper,v.,sàŋlà
découper,v.,sə́g
découper finement,v.,pɛ̀zì
découper (se ),v.,sə́gî
découvrir,v.,swàm
décroître,v.,sə̀g
décès,n.,à-wú
de nouveau (faire ),q aux.,bágbá
de nouveau (faire ),q aux.,tìmnì
debout (être_),v rés.,tɛ́lə̂
demain,adv.,kídí
demander,v.,bólô
demander,v.,jàgì
demander,v.,sílâ
demander une participation,v.,kàlì
demandeur,n.,ɲ̀-cílâ
demeurer,v.,káŋâ
demi-tour (faire ),v.,kwád
Dendroaspis jamesoni,n.,ɛ̀-jáŋ
Dendroaspis jamesoni,n.,ŋ̀-kòd
Dendrohyrax arboreus,n.,ɲ̀-ɲǒg
dense,n adj.,ndìm
dense,n adj.,pùd
dent,n.,ɛ̀-sɔ̌ŋ
dents agacés,n.,nìgíz
denture (sp),n.,bì-kə̀g
depuis,adv.,kɔ́m
dermatose (sp),n.,ɛ̀-kɔ̌
dermatose (sp),n.,mə̀-kɔ̌
dernier-né,n.,mə̀líg mbúzâ
dernier-né,n.,mə̀màn àwó
derrière,n.,mbúz
derrière,n.,páglá
derrière,prép.,á mbúz
descendre,v.,sùz
descendre (faire-),v.,sùzà
dessein (faire à ),q aux.,váŋ
dessin,n.,ì-və̀glà
dessiner,v.,və̀glà
dessous,adv.,á sí
dette,n.,ì-kòló
deux,adj.,-bǎ
deux,num.,bàà
devenir,v.,bógbô
devenir,v.,pám
devenir,v rés.,mógô
devise (sp),n.,ndán
devoir,q aux.,yɛ̀ɛ̀nì
devoir,v res.,g͡bɛ́lə̂
défaire,v.,bɔ̀b
défaite,n.,ì-bɔ̀b
défaut,n.,ɲ̀-cwǎz
défendre,v.,cìlà
défendre,v.,kàmnì
défense,n.,m̀-mǎŋ
défi,n.,pɛ̀nə̀
défi (sp),n.,pɛ̀nə̀
définitivement,adv.,kpád
défoncer (se ),v.,vùŋ
déformation,n.,ɲ̀-cwǎz
déféquer,v.,nɔ́bɔ̂
déféquer,v.,váz
défriché,n.,mə̀-lí
défrichage,n.,lyâ
défrichage à la machette,n.,sòpyâ
défricher,v.,lí
défricher,v.,pùb
défunt,n adj.,ì-jóŋ
dégager,v.,kpàgì
dégager,v.,pàzì
dégager odeur,v.,nùm
dégoûtant,n adj.,ɲěy
dégoûtant (devenir ),v.,ɲɔ̀dbɔ̀
dégoûtant (être_),v rés.,ɲɔ̀dɔ́
dégouliner,v.,sáb
dégringoler,v.,swâdnì
diaphragme,n.,ndàm
diarrhée,n.,ńtwí
dibetou,n.,ì-dú ásə̂
Dieu,n.,zàmá
difficile,n adj.,à-lɛ̌d
difficile,n adj.,ɲ̀-jǔg
difficile (être_),v.,lɛ̀d
difficile (être_),v.,lɛ̀d
difficile (être_),v.,níd
diffuser,v.,càm
diffuser (nouvelle),v.,bə́glə̂
digne,n adj.,à-tí
digne,n adj.,jǐn
dignitaire,n.,m̀-mɛ́n
digue,n.,ŋm̀-ŋmə̌g
diluer,v.,sòlò
dimanche,n.,sɔ́nɔ̂
dimension,n.,ndàm
diminuer,v.,sùz
diminuer,v.,sùzà
Dioscorea bulbifera,n.,ɛ̀-lɔ́g
Dioscorea dumetorum,n.,ɛ̀-sɔ́l
Diospyros crassiflora,n.,mə̀vínâ
dire,v.,cɛ̀dì
dire,v.,kàd
dire,v.,tɔ́ŋ
dire,v.,vɔ́
direct,n adj.,kpə́bə́g
discourir longuement,v.,láŋdânà
discours,n.,ì-jə́gî
discours,n.,ì-kàd
discrétion,n.,mə̀-sɔ̌
discussion,n.,m̀-pɛ̌d
disette,n.,ɛ̀-jə́b
disparaître,v.,dáŋ
disparaître (sp),v.,sêy
disperser,v.,sàz
disperser (se ),v.,càmnì
dispute,n.,ì-sùŋ
dispute,n.,záŋ
disputer,v.,sùŋ
disputer (se ),v.,sáánì
dissimulation (sp),n.,mbízí
disséminé,n adj.,ì-tə́ŋ
distance (grande ),n.,ù-jǎb
Distemonanthus benthamianus,n.,ì-jɛ̀n
distribution,n.,ŋgàb
divin,n.,à-zàmá
divinité,n.,à-zàmá
dix,n.,ɛ̀-wóm
déjà,adv.,àyǎ
djansang,n.,ì-zə́záŋ
déjeuner,n.,ì-càm ɛ̀kàg
délabré,n adj.,ì-túg
délayer,v.,pùg
délirer,v.,lə̀mzàn
déloger,v.,kúglânà
démagogue,n.,m̀-pìmpyáŋ
démarrer (voiture),v.,càg
démesurée (faire de façon ),q aux.,pídgân
déménager,v.,bólî
dénommer,v.,yòlò
dénoncer,v.,kə́m
dénoncer (sp),v.,bó èè
dénoncer (sp),v.,kpə́
doigt,n.,ù-nǔŋ
domicile,n.,à-tán
domicile,n.,mbóg
don,n.,ì-págâ
don (sp),n.,ì-yóm
donc,adv.,vɔ́
donc,int.,hɔ́
donner,v.,kàznì
donner,v.,və́
donner une forme,v.,míŋlá
dorloter,v.,yə̀glə̀
dormir,v.,jázî
dormir (sp),v.,lə̀mzàn
dos,n.,mbúz
dos,n.,mə̀-bán
dose,n.,dóz
dose,n.,ɛ̀-bím
dot,n.,ì-və̀gə̀
dot forcée,n.,m̀-pə̀ŋə̀
doter,v.,və̀g
doué,n adj.,à-kə́ŋ
doué (être_),v.,kə́ŋbə̂
Douala,n.,ɛ̀wálɔ́
douleur,n.,à-yá
douleur,n.,mì-ntá
doute,n.,m̀-pɛ̌d
douter,v.,pɛ̀dnì
douter,v.,sə́ŋ
doux,idéo.,bùd bùd
doux (sp),n adj.,ì-və́vɔ̂
dépassé (être_),v.,làmbà
dépasser,v.,káŋâ
dépasser,v.,vòb
dépasser les limites,v.,lòbzànà
dépêcher (se ),n adj.,à-vól
dépeçage,n.,ì-bà
dépecer,v.,bà
dépecer,v.,kpàl
déplacer,v.,pógó
déposer,v.,jògì
déposer,v.,sùzà
déposer (se ),v.,bɛ̀dbə̀
déposer (sp),v.,nàlì
dépotoir,n.,ì-kùkùn
dépouiller (sp),v.,pɔ́lî
dépouilles,n.,ǹ-tú
dépourvu,n.,ǹ-nə́ŋ
déprimé (être_),v.,kùlbà
dépuceler (sp),v.,tàn
déracinement,n.,ǹ-tééní
déraciner,v.,pùmlà
déraciner,v.,tə́
drageon (bananier),n.,m-ɔ́ŋnɔ̀
drague (sp),n.,ɛ̀-ndómní
déranger,v.,gə́ŋzə̂
déranger,v.,jóŋlô
déranger,v.,ndə́glə̂
déraper,v.,vóm
dresser,v.,nə̀bnə̀
dresser (se ),v.,límbâ
dresser (se sur ses ergots),v.,nə̀gbə̀
dérision,n.,ì-ŋmg͡báŋ
dérision,n.,ɲ̀-ɲɔ́ŋ
droit,n adj.,ŋmìz
droit (être_) (sp),v.,lwán
droite,n.,mə̀-jóm
dérouter (sp),v.,lɛ̀z
dès que,sub.,ɲìná
désaccord,n.,m̀-pɛ̌d
désapprobation (sp),n.,bì-jám
désapprouver,v.,hàmnì èè
désapprouver,v.,ɲùmnì èè
désherber,v.,bàl
désinfectant,n.,bùlátânjó
désir,n.,kpámâ
désir,n.,ù-záŋ
désir,n.,zám
désir sexuel,n.,ŋmg͡bɛ̀z
désobéissance,n.,ndɔ́g
désobéissant,n adj.,mə̀-lɔ́
désobéissant (être_),v.,ndɔ́gbɔ̂
désordonné,adv.,mbíꜜɔ́ŋ
désordre,n.,ì-zàmzà
désordre (mettre en ),v.,sàz
détacher,v.,tìì
détacher (se ),v.,sógî
détacher (se ),v.,sógnì
détacher (se ),v.,tììnì
détacher (sp),v.,kòzì
détacher (sp),v.,ɲùgì
détacher (sp),v.,pɔ̀zì
détendre (se ),v.,józê
déterminé,n adj.,bə̀mə̀
déterminé (se montrer ),v.,ŋgàzbà
déterminé (être_),v.,yág
détester,v.,pə̀m
détester (se ),v.,pə̀mnì
détériorer (sp),v.,sùn
détruire,v.,bó
éduquer,v.,kə́ŋlə̂
dur,n adj.,à-lɛ̌d
dur (être_),v.,lɛ̀d
durcir,v.,lɛ̀dà
durée,n.,ɛ̀-bǒg
durée,n.,ǹ-tə́
durer,v.,káb
développement,n.,mə̀-bùgbàn
déverser (sp),v.,lógzô
dévoiler,v.,kúmdâ
dévoiler,v.,páŋâ
dynamique (être_),v.,jàŋ
eau,n.,mə̀-ndím
eau (sp),n.,mə̀-jə́g
ebebeng,n.,ì-bə́ꜜbə́ŋ
ebenacée (sp),n.,mə̀vínâ
effacer,v.,dímâ
effacer,v.,pímî
effaroucher,v.,pùb
effectuer,v.,kɔ̀m
effleurer,v.,kòbì
effondrer (s’_ ),v.,sùglàn
effort (sp),n.,ɛ̀-ndə́ŋ
effrayer,v.,sìzà
effrayer (se faire ),v.,sìzbàn
effronté,n adj.,bì-lə́lág
effronterie,n.,ɛ̀-lágbâ
effronterie,n.,ù-bàznà
effronterie,n.,ù-lág
efok,n.,ì-pòg
Egypte,n.,ìgíptɛ̀n
ekang,n.,ì-kǎŋ
ekoune (?),n.,ì-tə̀ŋ
emballer,v.,vàŋ
embellir,v.,ɲə̀bə̀
embranchement,n.,pálâ
embryon,n.,kə̀m mə̀cǐ
embêter,v.,gə́ŋzə̂
embêter,v.,pógó
embusquer,v.,kwàlì
emien,n.,à-kùg
empêcher,v.,jə̀g
empêcher,v.,ká
empiler,v.,jɔ̀
emporter (s’_ ),v.,búlgân
empreinte,n.,ɛ̀-bɔ̀
empresser (s’_ ),v.,mbògbàn
emprunter,v.,kòlì
en aval,n.,ŋ̀-kə̌
en bas,adv.,á sí
en bas,n.,ŋ̀-kə̌
Enantia chlorantha,n.,m̀-pǒl
encaisser,v.,bábî
encens,n.,ù-tú
enclos,n.,ì-pwàgɔ́
encombrement,n.,kágdân
encore (faire ),q aux.,bágbá
encourager,v.,págî
endroit,n.,ɛ̀-pólô
endroit,n.,pə́
endroit,n.,vôm
enduire,v.,píd
enduire,v.,síì
enduire (s’_ ),v.,pídgân
enduit,n.,pə́m
enduit (être à),v.,pídgân
endurance,n.,à-zòmò
endurance,n.,ɛ̀-mbɛ̀nbə̀
endurance,n.,ù-jíbî
endurance,n adj.,pǐn
endurer,v.,jíbâ
endurer,v.,mbɛ̀nbə̀
endurer,v.,mìn
endurer,v.,zòmò
enfant,n.,m-ɔ̀ŋɔ́
enfant,n.,m-wán
enfant (sp),n.,ì-sòm
enfantillage,n.,à-mɔ̀ŋɔ́
enflammer (s’_ ),v.,káb
enfler,v.,vúz
enflure,n.,ì-pə́pâmà
enflure (sp),n.,ɛ̀-bǐb
enflure (sp),n.,ù-bǐb
enfoncer,v.,dɔ̀bì
enfoncer (s’_ ),v.,g͡bàŋbàn
enfoncer (sp),v.,pɔ̀glɔ̀
enfoui (se trouver ),v.,pùdbà
enfuir,v.,dɔ̀bì
engendrer,v.,bònì
engendrer,v.,wɔ́
engokom,n.,ì-kə́kɔ́m
engueuler,v.,sò
enlacer (s’_ ),v.,kábdân
enlever,v.,swádí
enlever,v.,vàzà
enlever (igname),v.,báŋî
enlever la peau,v.,tùnì
enlever (sp),v.,bázî
ennemi,n.,ǹ-zínzíŋ
enraciner (s’_ ),v.,lád
enrichir (s’_ ),v.,bíg
enrichissement,n.,ɛ̀-bígí
enrouler,v.,bɔ́g
enrouler,v.,díŋzàn
enrouler,v.,vàŋ
enrouler (s’_ ),v.,díŋzàn
enruler (s’_ ),v.,vùdnì
enseignant,n.,ɲ̀-ɲə́glə́
enseigner,v.,yə́glə̂
ensemble,adv.,pùlá
ensemble,n.,ì-sámá
ensemble,n.,ɲ̀-cámá
entailler,v.,sàŋ
Entandrophragma cylindricum,n.,à-sə̀
entendre,v.,wóg
enterrer,v.,dè
entier,adj.,-sə̀
entier,n adj.,ŋ̀-ŋúmâ
entier,n adj.,ŋm̀-ŋmúmâ
entièrement,adv.,lìbìg
entorse (avoir ),v.,ɲwàglàn
entraîner,v.,kə̀ èè
entrée,n.,m̀-mə́ ndá
entrer,v.,ɲíì
entrer (faire ),v.,ɲíŋlâ
entretenir,v.,pílî
entretien,n.,ǹ-náŋ
entêtement,n.,ì-vág
entêtement,n.,ndɔ́g
envahir (sp),v.,lád
envie,n.,kpámâ
envie,n.,mə̀-kómgó
envie (sp),n.,ù-záŋ
envier,v.,kómô
envoûtement (sp),n.,kóŋ
envoyer,v.,lóm
Epixerus ebii,n.,ꜜmbóg
erimado,n.,ì-zə́záŋ
errance,n.,ɛ̀-ndə́ŋ
eru,n.,ù-kɔ̀g
Erythrophleum suaveolens,n.,ì-lón
Erythroxylum mannii,n.,lànà
escalader,v.,kà
escargot,n.,kwé
escargot de rivière,n.,ɛ̀-lɔ̌ŋ
escargot (oviducte d’ ),n.,ǹ-náŋ
escarpé,n adj.,ndòndòŋ
esclave,n.,cúgzɛ̂d
esclave,n.,ù-lwǎ
escroquer,v.,díínì èè
espace entre les narines,n.,ù-tə̌m ꜜdóy
espèce,n.,mbɔ̀ŋ
espiègle,n adj.,ǹ-tàndàŋ
espoir,n.,ɛ̀-pìdí
espoir,n.,ɲ̀-ɲìní
espoir (dans que),sub.,kâm bə̂
espoir vain,n.,ì-dɛ̀n lə́pìdí
espérer,v.,pìdì
esprit,n.,ɲ̀-cíꜜɲcím
esprit malifique,n.,ì-vú
esquisse,n.,mə̀-sə̀blə̀
esquiver,v.,sɛ̀lgàn
essaim d’abeilles,n.,mbúmbûŋ
essayer,v.,və̀glà
essayer (sp),v.,pìzì
essessang,n.,ì-zə́záŋ
essuyer,v.,pímî
estomac,n.,ù-sàŋ
et,prép.,èè
etoup,n.,ì-tùb
Euoticus elegantulus,n.,ɲ̀-cá
Euphorbia hirta,n.,úkûl bìpèègá
euphorbiacée (sp.),n.,ì-sánî
européen,n.,ǹ-táŋní
evoula,n.,ì-vúl
ex-,n adj.,ŋ̀-kúz
exagération,n.,ì-pɛ̀z
exagérer,q aux.,dàŋ
exagérer,v.,nə̀mnà
exagérer,v.,vùŋ
exalter,v.,lùgà
exalter,v.,sə́gî
examen,n.,ŋ̀-kàd
excéder,v.,dàŋ
excéder,v.,dàŋ
excellence,n.,ù-zúd
excitement sexuel,n adj.,bì-sòg
exciter,v.,sə̀glə̀
exciter,v.,sòblò
excrément,n.,ɛ̀-bí
excréments,n.,mə̀-bí
excuser (s’_ ),n.,bì-jùùgá
excuses,n.,bì-jùùgá
exemple,n.,mbùlná
exhiber,v.,cɔ̀nì
exorbité,n adj.,ì-ndòd
expliciter,v.,pɛ̀zlànà
expliquer,v.,pɛ̀lnà
expliquer,v.,pɛ̀zlànà
expliquer,v.,tìmzànà
exposer (dents),v.,cɔ̀nì
exposer les fesses,v.,ŋgə́m
exposer les fesses,v.,pònì
expres (faire ),q aux.,váŋ
expression de chagrin,n.,ù-kùgà
exprès (par ),n.,ù-váŋ
expulser,v.,bó
expulser,v.,càm
expulser,v.,tídnà
exsudat,n.,mə̀-kə́mdâ
extorquer,v.,díínì èè
extraction,n.,m̀-págní
extraire,v.,bòg
extraire,v.,pàzì
exulter,v.,pòn
fabricant,n.,ŋ̀-kòmò
fabriquer,v.,kòm
fabriquer,v.,lóŋ
fabriquer (pot),v.,mə̀
face,n.,à-sú
faché (être_),v.,pàm
facile,n adj.,ì-bùbû
facile à tromper,n adj.,kpə́g
facile (être_),v.,vɛ̀zbàn
Fagara tessmannii,n.,bòŋó
fagot,n.,m̀-mɔ̀m
faible,n adj.,kúl
faible (enfant ),n adj.,ndɛ̀dgí
faible (rendre ),v.,mànà
faible (être_),v.,tə̀gbə̀
faillir,q aux.,yì
faillir au jeu,v.,də̀m
faillite,n.,m̀-mə̀g
faillite (faire ),v.,swád
faim,n.,zà
faire,v.,kòm
faire,v.,kɔ̀m
faire,v.,sá
faire attention,v.,kálâ
faire beaucoup,q aux.,dàŋ
faire bouillir,v.,twàgdɔ̀
faire couler,v.,còbdò
faire du bruit,v.,dùŋ
faire gonfler,v.,vúzâ
faire l’amour,v.,bómnì
faire maigrir,v.,kódô
faire pivoter,v.,cìŋlànà
faire sécher,v.,kódô
faire suinter,v.,sɔ́
faire tourner,v.,cìŋlànà
faire un petit tour,v.,bɔ́glânà
familiarité,n.,ŋmg͡bà
famille,n.,ì-vúvúmní
famille,n.,ndá î bòd
famine,n.,zà
faner (se ),v.,sà
fanfaron,n adj.,bì-ŋgàn
fanfaron,n adj.,bì-vùg
fantaisiste,n adj.,bì-jàŋ
fantôme,n.,kón
façon,n.,ɛ̀-kɔ̀m
farce,n.,ì-làŋ
farce,n.,ǹ-tómdân
farce,n.,ɲ̀-ɲɔ́ŋ
farce,n.,pyàŋà
fardeau,n.,mbə̀glə̀
fardeau,n.,m̀-mə̀glə̀
farine,n.,ù-vùg
fatigant (être_),v.,tə̀gnì
fatigué (extrêmement ),adv.,ìvɔ̀ ìvɔ̀
fatigue,n.,sɔ́m
fatiguer,v.,tə̀g
fatiguer (se ),v.,tə̀g
fatiguer (se de),v.,tə̀g èè
faîtière,n.,m̀-móŋ
faîtière,n.,ù-búd ndá
faux (faire feu),v.,cɔ́g
fâché (être_),v.,wóg
féculent,n.,ì-bɛ̀dgə̀
feindre de donner,v.,sìglà
femme,n.,m-ìnŋgá
femme,n.,ɲ̀-ɲə́ꜜɲá
fendre,v.,sàl
fente,n.,ì-sàlgà
fente,n.,ì-sə̀sâlà
fente,n.,ǹ-sàlní
fenêtre,n.,wúnâ
fer,n.,ì-cè
fer à repasser,n.,áɲân
fermé (être_),v rés.,pɛ̀də́
fermable (être_),v.,pɛ̀dbàn
ferme,n adj.,mbóm
ferment (culture de ),n.,ɲjàgà
fermer,v.,dìb
fermer,v.,pɛ̀d
fermer (se ),v.,pɛ̀dbàn
fermer (se ),v.,pɛ̀dnì
fermer (sp),v.,lɔ́
fermeture éclair,n.,ɲ̀-càg
fesse,n.,ɛ̀-kǎn
fessée,n.,twànìpáb
fesses,n.,zùd
festin,n.,dínâ
feu,n.,ndwân
feu (faire ),v.,kòmnò
feuillage,n.,ǹ-tǔd
feuille,n.,ɛ̀-pə́b
feuille,n.,ká
feuille,n.,ù-ká
feuille (partie de ),n.,ù-lɔ́ ká
feuille (sp),n.,ɛ̀-wúâ
feuille (sp),n.,ì-tóndó
feuille (sp),n.,mbɔ̀bɔ̀
feuille (sp),n.,ǹ-twàgzɔ̀
fiable,n adj.,bə̀mə̀
fibre,n.,kɔ́ŋ
fibre,n.,pyám
fibre (sp),n.,ndàmdâ
fibre (sp),n.,ndwǐ
ficeler,v.,kàŋ
Ficus mucuso,n.,tɔ̌l
fier,n adj.,à-tód
fier (être_),v.,wóg
figuier,n.,tɔ̌l
fil,n.,ŋ̀-kwǎl
fil de fer,n.,ŋgáz
fil (sp),n.,mbúná
filet,n.,ɛ̀-vɔ́d
filet (sp),n.,mbúná
filet (sp),n.,ŋmg͡bə́lə́ŋ
fille,n.,ŋgwàn
fille (sp),n.,ì-sìlà
fille (sp),n.,ndɛ̀dgí
fils,n.,ndómní
filtrer,v.,bìnì
fin,n.,à-mànà
finir,v.,màn
finir,v.,mànà
fissures (sp),n.,kə̀gə́
fièvre,n.,píbâ
fièvre (avoir),v.,jóŋ
flacon,n.,ndə́g
flagornerie,n.,mbòl
flair,n.,ɲ̀-cwàn
flamber,v.,bwî
flamme,n.,ŋ̀-kàblà
flanc,n.,mbà
flaque,n.,ì-tə̀mgə́
flaque,n.,ì-tə́tâg
flasque (devenir ),v.,jɔ̀glàn
flatterie,n.,ì-wàngɔ̀
flatterie,n.,mbòl
flatuosité,n.,ɲ̀-cùl
flèche,n.,ì-lây
flèche,n.,m̀-pàn
fleur,n.,ì-sàmgà
fleur,n.,pùláwô
fleur,n.,sǎm
fleur,n.,sàmgí
fleur (sp),n.,m̀-móm
fleur (sp),n.,m̀-mɔ̀ŋ lɛ́n
fleur (sp),n.,ù-zǒm
fleurir,v.,kpá
fleurir,v.,sàm
félicitations,n.,mə̀-tàmná
féliciter,v.,tàmnà
flotter,v.,ndàmdà
flûte (sp),n.,ù-dìŋ
flétrir,v.,jɔ̀glàn
flétrir,v.,sà
foi,n.,ɛ̀-pìdí
foie,n.,ì-sə́g
fois,n.,ì-jɔ̀ŋ
folon,n.,kùkùmà
"fonctionnaire, préfet",n.,ŋgɔ́mnɔ̀
fonctionner,v.,wùlà
fond,n.,ɛ̀-tǐg
fond,n.,ì-bón
fonder,v.,bònì
fondre,v.,ɲámâ
fondre,v.,sêy
fondre,v.,síbâ
force,n.,ŋgùl
force,n.,pím
forficule,n.,óbónítô
forge,n.,à-lú
forge,n.,ì-jálú
forger,v.,lú
forgeron,n.,lúlúâ
forgeron,n.,ǹ-lúâ
forme,n.,ɛ̀-bím
former,v.,kə́ŋlə̂
formidable,n adj.,kòòŋ
formule déclamatoire (sp),n.,mə̀-kàlì
forêt,n.,ɛ̀-pàn
fort,n.,ŋgùl
fort (sp),n adj.,mbə̀m
fort (être_),v.,lɛ̀d
fossé,n.,m̀-mə́mə́g
fossé,n.,ŋm̀-ŋmìglìm
fosse,n.,ì-díb
fou,n.,ɛ̀-kúd
fou,n.,ì-tùŋà
fouet,n.,ŋ̀-káz
fouet,n.,ŋmg͡báz
fouet (sp),n.,ŋmg͡báz mə̀lɔ́
fouet (sp),n.,ù-sɔ̀
fouetter,v.,bɔ̀b
fougère,n.,zə́ŋ
fouille,n.,m̀-págní
fouiller,v.,cáz
fouiller,v.,vùn
fouilleur,n.,m̀-vùnà
foulard,n.,ǹ-tóm
foule,n.,ŋ̀-kùnà
fourchette,n.,ì-lúm
fourmi,n.,ù-sə́ꜜswán
fourmi (sp),n.,kám
fourmi (sp),n.,kòkómô
fourmi (sp),n.,ǹ-tóntól
fourmi (sp),n.,pɔ́m
fourmi (sp),n.,pùmá
fourmi (sp),n.,ù-kpád
foyer,n.,ndá ɛ̀bá
fraîcheur,n.,à-vɔ́
fraîcheur,n.,ì-sín
fraction,n.,ì-cíìgà
fragile,n adj.,kə̀glə̂gə̀
fragile (être_),v.,kɛ́lə̂
fragilité,n.,kə́lə̂
frais (être_),v.,vɔ́
frake,n.,à-kɔ̀m
Français,n.,pùlàsí
franc,n.,d-ɔ́lɔ̂
franc,n.,síngì
franc,n adj.,kpə́bə́g
franchement,q aux.,kwàgdɔ̀
franchir,v.,kpám
francolin,n.,ù-kpǎl
frappe,n.,ì-kùd
frapper,v.,bímî
frapper,v.,bòmlò
frapper,v.,bòmlò
frapper,v.,kùd
frapper (sp),v.,kùmdà
frapper (sp),v.,kùŋlà
fraternité,n.,ɛ̀-jǎŋ
fraternité,n.,ɛ̀-ɲǎŋ
fringale,n.,ù-záŋ
frire,v.,yáŋ
friture,n.,káŋgá
frêle,adv.,líg ꜜlíg
frôler,v.,nàmà
frôler,v.,wɔ́mlɔ̂
frémir,v.,ɲàmnì
froid,n.,ɛ̀-və́b
froid,n.,ì-sín
froid (être_),v.,sín
froid (très ),idéo.,dàbgì
fromager,n.,d-úmá
fronde,n.,ndàmà
frontière,n.,ɲ̀-ɲə̀
frotter,v.,sí
frotter,v.,tùg
frotter (sp),v.,pìg
frère,n.,mɔ̌ꜜjáŋ
frère,n.,ndóm
frère (mon ),n.,mwǎn ꜜmáŋá
frère (mon ),n.,mɔ̌ ꜜtádá
frère (son ),n.,mɔ̌ꜜɲáŋ
frère (ton ),n.,mɔ̌ꜜɲɔ́ŋ
fructifier,v.,pòlò
fruit,n.,ì-bòmó
fruit de raphia,n.,zâmà
fruit (sp),n.,à-bɛ́l
fruit (sp),n.,à-sám
fruit (sp),n.,ɛ̀-báŋ
fruit (sp),n.,ɛ̀-bò
fruit (sp),n.,ɛ̀-kwádgí
fruit (sp),n.,ɛ̀-ŋgòŋ
fruit (sp),n.,ì-bwàm
fruit (sp),n.,ì-kùdí
fruit (sp),n.,ì-nèy
fruit (sp),n.,ì-vɔ̀
fruit (sp),n.,mbǎn
fruit (sp),n.,ŋgə̀gə́
fruit (sp),n.,pàŋnâ
fruit (sp),n.,sá
fruit (sp),n.,sàbsábá
fruit (sp),n.,ù-tìlgà
fruits du djansang,n.,mízə́záŋ
fût,n.,káz
fête,n.,ɛ̀-bóg
fête,n.,ì-zə̀zàŋ
fêter,v.,jə́mî
fétiche,n.,byàŋ
fétiche,n.,ɛ̀-ŋgàŋ
fétiche,n.,ŋgàŋ
fétiche (sp),n.,ɲjàmà
féticheur,n.,mə̀ŋgàŋ
fufu,n.,vùvú
fuir,v.,sɔ́
fuir,v.,tú
fuir à la dérobée,v.,sɛ̀lgàn
fumée,n.,vídâ
fumer,v.,dùd
fumer,v.,túgâ
fumet,n.,zǐŋ
funèbre (danse ),n.,ì-sánî
funèbre (repas ),n.,sádkâ
Funisciurus isabella,n.,ù-sɛ́n
Funtumia elastica,n.,ìbùm
furoncle,n.,d-wǎd
furoncle,n.,ì-pə́pâmà
fusil,n.,ŋgál
fève,n.,mbɔ́
âgé,n adj.,ɲǎ
gage,n.,ì-bán
gagner,v.,dɔ̀
gagner,v.,lòd
Galago alleni,n.,ɲ̀-cá
Galago senegalensis,n.,ù-jàm
galago (sp),n.,ɲ̀-cá
galago (sp),n.,ù-jàm
Galagoïdes demidovi,n.,ù-jàm
gale,n.,ɲ̀-càŋ
galon,n.,ì-kúg
gandoura,n.,gàŋ dùdà
géant,idéo.,píꜜlɔ́ŋ
gant,n.,gáŋ
géant,n adj.,ŋ̀-kə́mə̂
garder,v.,bàglà
garder,v.,kɔ̀y
garder,v.,này
garder,v.,nɛ̀y
garder (se ),v.,bàglàn
gardien,n.,gôl
gardien,n.,m̀-màglà
gare,n.,bán
gare,n.,gáàdì
égarer (s’_ ),v.,vóm
égarere (s’_ ),v.,dáŋ
gargoulette,n.,kúlwàdá
gauche,n.,mə̀-yál
âge,n.,m̀-mú
âge,n.,ŋ̀-kóŋ
âge,n.,ù-kàlà
Genetta servalina,n.,ɲ̀-cíŋ
genetta tigrina,n.,ɲ̀-cíŋ
genetta victoriae,n.,ɲ̀-cíŋ
genette,n.,ɲ̀-cíŋ
genette (sp) (?),n.,zòl
genou,n.,ɛ̀-bɔ́ŋ
genou (pli),n.,ǹ-tîmgì
genre,n.,ì-bə̀gá
genre,n.,kán
gentil,n adj.,ù-sə̀sà
germe,n.,m-ɔ́ŋnɔ̀
germer,v.,jò
germer,v.,kə́g
germer,v.,kə́g
gerçure,n.,kə̀gə́
gestation,n.,ɲ̀-cìlà
geste (sp),n.,pɛ̀nə̀
gesticuler,v.,pùblàn
gingembre,n.,njínjâ
glacé,idéo.,dàbgì
glaire,n.,bì-lìgdì
église,n.,cwáz
glissade,n.,ù-sɛ̌n
glissant (être_),v.,tɛ̀l
glisser,v.,sɛ̀nə̀
glisser,v.,tɛ̀l
globe,n adj.,ɲ̀-cɔ́
globuleux (œil),n adj.,ì-ndòd
glorification,n.,mə̀-sə́gî
glorifier,v.,sə́gî
glouton,n adj.,kpàg
